transaction_id,timestamp,customer_id,customer_age_group,customer_city,customer_state,merchant_id,merchant_category,payment_channel,device_type,amount_inr,status,is_fraud
TXN00020528,2025-09-01 05:15:43,CUST002456,55+,Patna,Bihar,MERCH00632,Financial Services,Net Banking,Desktop Web,4146.26,Success,False
TXN00054963,2025-09-01 05:20:58,CUST001687,25-34,Bhopal,Madhya Pradesh,MERCH00293,Fashion,UPI,Mobile App,2059.23,Success,False
TXN00052494,2025-09-01 07:04:37,CUST003875,45-54,Chandigarh,Punjab,MERCH00766,Education,UPI,Mobile App,4441.09,Success,False
TXN00033975,2025-09-01 07:13:50,CUST000758,45-54,Indore,Madhya Pradesh,MERCH00262,Fuel,Debit Card,Mobile App,596.92,Success,False
TXN00047727,2025-09-01 07:19:39,CUST000566,25-34,Mumbai,Maharashtra,MERCH00795,Utilities,UPI,POS Terminal,1313.66,Success,False
TXN00000752,2025-09-01 07:30:31,CUST002105,25-34,Chandigarh,Punjab,MERCH00127,E-commerce,UPI,Mobile App,5700.54,Success,False
TXN00026147,2025-09-01 07:37:00,CUST001812,25-34,Delhi,Delhi,MERCH00452,Financial Services,Net Banking,Desktop Web,2687.01,Success,False
TXN00045139,2025-09-01 07:42:57,CUST001776,25-34,Ahmedabad,Gujarat,MERCH00332,E-commerce,UPI,Mobile Web,3771.72,Success,False
TXN00022163,2025-09-01 08:06:06,CUST002105,25-34,Chandigarh,Punjab,MERCH00332,E-commerce,Net Banking,Mobile App,551.49,Success,False
TXN00042745,2025-09-01 08:06:07,CUST003683,25-34,Hyderabad,Telangana,MERCH00720,Entertainment,Credit Card,Mobile App,338.9,Success,False
TXN00032789,2025-09-01 08:08:19,CUST003888,35-44,Pune,Maharashtra,MERCH00067,Education,Net Banking,Mobile App,4161.45,Success,False
TXN00020034,2025-09-01 08:14:23,CUST003022,25-34,Coimbatore,Tamil Nadu,MERCH00391,E-commerce,Net Banking,Mobile App,2152.39,Success,False
TXN00027302,2025-09-01 08:26:42,CUST004389,18-24,Hyderabad,Telangana,MERCH00127,E-commerce,UPI,Mobile App,20.0,Success,False
TXN00037096,2025-09-01 08:43:09,CUST000488,35-44,Chennai,Tamil Nadu,MERCH00328,Grocery,UPI,Mobile App,976.36,Success,False
TXN00049008,2025-09-01 08:52:25,CUST003826,35-44,Pune,Maharashtra,MERCH00024,Entertainment,Wallet,Mobile App,861.91,Success,False
TXN00045713,2025-09-01 08:55:20,CUST000832,45-54,Mumbai,Maharashtra,MERCH00677,Grocery,Net Banking,Mobile App,325.69,Failed,False
TXN00005293,2025-09-01 08:55:25,CUST001302,35-44,Guwahati,Assam,MERCH00304,Fashion,Net Banking,Mobile App,3109.38,Success,False
TXN00043383,2025-09-01 08:55:27,CUST001276,35-44,Delhi,Delhi,MERCH00489,E-commerce,UPI,Mobile App,2876.63,Success,False
TXN00021539,2025-09-01 09:27:00,CUST004545,25-34,Sangli,Maharashtra,MERCH00079,Grocery,Debit Card,Mobile App,832.92,Success,False
TXN00036780,2025-09-01 09:27:07,CUST002739,45-54,Chennai,Tamil Nadu,MERCH00655,E-commerce,Net Banking,Mobile App,1114.25,Success,False
TXN00016480,2025-09-01 09:35:24,CUST002208,35-44,Indore,Madhya Pradesh,MERCH00137,E-commerce,Debit Card,Mobile App,2363.6,Failed,False
TXN00033545,2025-09-01 09:39:22,CUST001823,18-24,Ahmedabad,Gujarat,MERCH00447,Food Delivery,Credit Card,Mobile App,252.08,Success,False
TXN00000422,2025-09-01 09:41:15,CUST002956,25-34,Hyderabad,Telangana,MERCH00293,Fashion,UPI,Desktop Web,20.0,Success,False
TXN00026074,2025-09-01 09:46:55,CUST004638,25-34,Mumbai,Maharashtra,MERCH00293,Fashion,UPI,Mobile App,2899.54,Success,False
TXN00054035,2025-09-01 09:51:17,CUST001345,25-34,Bengaluru,Karnataka,MERCH00438,Food Delivery,UPI,Mobile App,778.87,Failed,False
TXN00024739,2025-09-01 09:58:16,CUST000499,25-34,Kolkata,West Bengal,MERCH00771,Entertainment,Debit Card,Mobile App,633.0,Success,False
TXN00005724,2025-09-01 10:04:37,CUST002177,55+,Bengaluru,Karnataka,MERCH00125,Fashion,Debit Card,POS Terminal,4909.34,Success,False
TXN00031626,2025-09-01 10:07:17,CUST002878,45-54,Bhopal,Madhya Pradesh,MERCH00750,Utilities,Debit Card,Mobile App,1021.58,Success,False
TXN00039787,2025-09-01 10:08:01,CUST002667,35-44,Surat,Gujarat,MERCH00436,Food Delivery,UPI,Mobile Web,514.87,Success,False
TXN00055341,2025-09-01 10:12:45,CUST002955,25-34,Mumbai,Maharashtra,MERCH00492,E-commerce,Wallet,Mobile App,1588.57,Success,False
TXN00049406,2025-09-01 10:13:42,CUST002323,35-44,Hyderabad,Telangana,MERCH00127,E-commerce,UPI,Mobile App,20.0,Success,False
TXN00046261,2025-09-01 10:14:41,CUST001519,25-34,Surat,Gujarat,MERCH00127,E-commerce,UPI,Desktop Web,2975.61,Success,False
TXN00007978,2025-09-01 10:17:44,CUST001832,18-24,Mumbai,Maharashtra,MERCH00792,Fuel,UPI,Mobile App,1083.73,Success,False
TXN00015140,2025-09-01 10:28:37,CUST000055,18-24,Surat,Gujarat,MERCH00432,Grocery,Net Banking,Mobile App,20.0,Success,False
TXN00057302,2025-09-01 10:34:06,CUST002884,55+,Mumbai,Maharashtra,MERCH00259,Entertainment,Net Banking,Mobile App,1091.99,Failed,False
TXN00006490,2025-09-01 10:37:16,CUST004288,18-24,Mumbai,Maharashtra,MERCH00411,Food Delivery,UPI,Desktop Web,366.01,Success,False
TXN00005174,2025-09-01 10:39:30,CUST004080,35-44,Guwahati,Assam,MERCH00534,Food Delivery,UPI,POS Terminal,20.0,Success,False
TXN00034080,2025-09-01 10:44:54,CUST002901,55+,Mumbai,Maharashtra,MERCH00152,E-commerce,Net Banking,Mobile App,1839.41,Success,False
TXN00018317,2025-09-01 10:51:23,CUST000591,35-44,Chennai,Tamil Nadu,MERCH00501,E-commerce,UPI,Mobile App,49.58,Success,False
TXN00042503,2025-09-01 10:52:28,CUST004352,25-34,Pune,Maharashtra,MERCH00698,Utilities,Debit Card,Mobile App,1148.08,Success,False
TXN00030914,2025-09-01 10:55:25,CUST001285,25-34,Indore,Madhya Pradesh,MERCH00053,E-commerce,Wallet,Mobile App,1048.41,Success,False
TXN00025476,2025-09-01 11:14:49,CUST002765,35-44,Bengaluru,Karnataka,MERCH00453,E-commerce,UPI,Desktop Web,644.44,Success,False
TXN00034682,2025-09-01 11:25:48,CUST002662,25-34,Hyderabad,Telangana,MERCH00271,Travel,Wallet,Mobile App,2984.87,Success,False
TXN00047872,2025-09-01 11:36:31,CUST000236,25-34,Bhopal,Madhya Pradesh,MERCH00021,Fuel,UPI,Mobile App,1897.66,Success,False
TXN00033772,2025-09-01 11:54:37,CUST001646,35-44,Ahmedabad,Gujarat,MERCH00412,Fuel,UPI,Mobile App,873.53,Success,False
TXN00024220,2025-09-01 11:57:41,CUST002105,25-34,Chandigarh,Punjab,MERCH00780,E-commerce,UPI,POS Terminal,115.09,Success,False
TXN00002910,2025-09-01 12:05:48,CUST000251,45-54,Bengaluru,Karnataka,MERCH00132,Food Delivery,UPI,POS Terminal,566.4,Success,False
TXN00010947,2025-09-01 12:07:08,CUST003819,18-24,Hyderabad,Telangana,MERCH00395,Fashion,UPI,Mobile App,3210.25,Success,False
TXN00050607,2025-09-01 12:09:14,CUST003844,18-24,Mumbai,Maharashtra,MERCH00032,Fuel,UPI,Mobile App,1057.48,Success,False
TXN00012170,2025-09-01 12:10:18,CUST004838,55+,Hyderabad,Telangana,MERCH00646,Entertainment,UPI,Mobile App,181.26,Success,False
TXN00013377,2025-09-01 12:25:52,CUST003251,25-34,Surat,Gujarat,MERCH00774,Fuel,Debit Card,Mobile App,1049.86,Success,False
TXN00056726,2025-09-01 12:27:07,CUST002365,45-54,Indore,Madhya Pradesh,MERCH00452,Financial Services,Debit Card,Mobile App,5721.04,Success,False
TXN00031896,2025-09-01 12:35:41,CUST003125,55+,Ahmedabad,Gujarat,MERCH00127,E-commerce,Debit Card,Mobile Web,1107.07,Success,False
