merchant_category,txn_count,total_value_inr,avg_value_inr,pct_of_total_value
E-commerce,11960,22782605.74,1904.9,26.08
Fashion,6095,11977072.87,1965.07,13.71
Fuel,9403,11280607.7,1199.68,12.92
Financial Services,3001,9311207.23,3102.7,10.66
Travel,1782,7742141.44,4344.64,8.86
Education,1320,7129188.58,5400.9,8.16
Grocery,7427,4804028.04,646.83,5.5
Entertainment,7671,3892139.99,507.38,4.46
Healthcare,2266,3701896.08,1633.67,4.24
Utilities,2520,2405388.32,954.52,2.75
Food Delivery,6555,2317529.33,353.55,2.65
