customer_state,txn_count,total_value_inr,failure_rate_pct,fraud_rate_pct
Maharashtra,12466,18145241.21,5.11,0.345
Gujarat,6973,10138321.3,5.39,0.287
Karnataka,6349,9400515.05,5.37,0.299
Delhi,6092,8893370.52,5.5,0.263
Telangana,5509,7880636.51,5.32,0.272
Tamil Nadu,4973,7079476.84,5.63,0.261
Punjab,3247,4733160.36,5.94,0.216
Madhya Pradesh,3094,4563918.87,5.43,0.259
West Bengal,2689,4017791.6,5.39,0.223
Kerala,2207,3167303.69,4.94,0.136
Rajasthan,1947,2745663.2,5.5,0.308
Uttar Pradesh,1845,2716267.36,5.04,0.217
Bihar,1744,2569555.73,4.64,0.172
Assam,865,1292583.08,4.51,0.231
