day_of_week,hour_of_day,txn_count
0-Sun,0,105
0-Sun,1,41
0-Sun,2,47
0-Sun,3,31
0-Sun,4,26
0-Sun,5,58
0-Sun,6,142
0-Sun,7,297
0-Sun,8,488
0-Sun,9,599
0-Sun,10,531
0-Sun,11,431
0-Sun,12,608
0-Sun,13,723
0-Sun,14,531
0-Sun,15,462
0-Sun,16,445
0-Sun,17,534
0-Sun,18,760
0-Sun,19,887
0-Sun,20,770
0-Sun,21,612
0-Sun,22,425
0-Sun,23,213
1-Mon,0,68
1-Mon,1,45
1-Mon,2,38
1-Mon,3,24
1-Mon,4,25
1-Mon,5,52
1-Mon,6,129
1-Mon,7,241
1-Mon,8,390
1-Mon,9,488
1-Mon,10,452
1-Mon,11,376
1-Mon,12,549
1-Mon,13,565
1-Mon,14,481
1-Mon,15,392
1-Mon,16,416
1-Mon,17,481
1-Mon,18,607
1-Mon,19,706
1-Mon,20,663
1-Mon,21,572
1-Mon,22,362
1-Mon,23,154
2-Tue,0,89
2-Tue,1,52
2-Tue,2,34
2-Tue,3,27
2-Tue,4,28
2-Tue,5,47
2-Tue,6,100
2-Tue,7,272
2-Tue,8,390
2-Tue,9,509
2-Tue,10,388
2-Tue,11,396
2-Tue,12,528
2-Tue,13,560
2-Tue,14,421
2-Tue,15,358
2-Tue,16,370
2-Tue,17,447
2-Tue,18,619
2-Tue,19,671
2-Tue,20,603
2-Tue,21,512
2-Tue,22,325
2-Tue,23,172
3-Wed,0,73
3-Wed,1,39
3-Wed,2,33
3-Wed,3,23
3-Wed,4,22
3-Wed,5,61
3-Wed,6,151
3-Wed,7,244
3-Wed,8,390
3-Wed,9,478
3-Wed,10,419
3-Wed,11,390
3-Wed,12,501
3-Wed,13,585
3-Wed,14,437
3-Wed,15,381
3-Wed,16,367
3-Wed,17,464
3-Wed,18,535
3-Wed,19,761
3-Wed,20,668
3-Wed,21,513
3-Wed,22,357
3-Wed,23,176
4-Thu,0,81
4-Thu,1,52
4-Thu,2,50
4-Thu,3,19
4-Thu,4,24
4-Thu,5,61
4-Thu,6,117
4-Thu,7,237
4-Thu,8,415
4-Thu,9,485
4-Thu,10,412
4-Thu,11,393
4-Thu,12,503
4-Thu,13,602
4-Thu,14,477
4-Thu,15,371
4-Thu,16,371
4-Thu,17,497
4-Thu,18,610
4-Thu,19,698
4-Thu,20,645
4-Thu,21,549
4-Thu,22,344
4-Thu,23,159
5-Fri,0,66
5-Fri,1,49
5-Fri,2,37
5-Fri,3,19
5-Fri,4,15
5-Fri,5,41
5-Fri,6,120
5-Fri,7,256
5-Fri,8,397
5-Fri,9,473
5-Fri,10,415
5-Fri,11,447
5-Fri,12,516
5-Fri,13,518
5-Fri,14,432
5-Fri,15,378
5-Fri,16,420
5-Fri,17,458
5-Fri,18,573
5-Fri,19,720
5-Fri,20,660
5-Fri,21,549
5-Fri,22,338
5-Fri,23,160
6-Sat,0,86
6-Sat,1,55
6-Sat,2,30
6-Sat,3,24
6-Sat,4,31
6-Sat,5,62
6-Sat,6,160
6-Sat,7,302
6-Sat,8,478
6-Sat,9,520
6-Sat,10,517
6-Sat,11,523
6-Sat,12,643
6-Sat,13,668
6-Sat,14,487
6-Sat,15,453
6-Sat,16,472
6-Sat,17,561
6-Sat,18,696
6-Sat,19,878
6-Sat,20,825
6-Sat,21,599
6-Sat,22,437
6-Sat,23,236
